timestamp,clients,repetition,register_avg_ms,register_stddev_ms,register_success_pct,game_avg_ms,game_stddev_ms,game_success_pct
2026-03-17T18:20:28.7523839,50,1,36.70,69.03,100.00,0.00,0.00,0.00
2026-03-17T18:20:29.1752492,50,2,17.00,46.02,100.00,4.67,1.25,33.33
2026-03-17T18:20:29.6402729,50,3,11.12,8.71,100.00,0.00,0.00,0.00
2026-03-17T18:20:30.0997071,50,4,8.48,5.50,100.00,0.00,0.00,0.00
2026-03-17T18:20:30.5265183,50,5,4.16,2.70,100.00,0.43,0.49,14.29
2026-03-17T18:20:30.9669601,50,6,8.68,5.51,100.00,0.00,0.00,0.00
2026-03-17T18:20:31.4015268,50,7,5.68,3.72,100.00,0.00,0.00,0.00
2026-03-17T18:20:31.8530766,50,8,5.80,4.34,100.00,1.00,0.00,100.00
2026-03-17T18:20:32.2986331,50,9,6.16,4.86,100.00,0.00,0.00,0.00
2026-03-17T18:20:32.7526201,50,10,8.66,5.54,100.00,0.00,0.00,0.00
2026-03-17T18:20:33.5962945,100,1,39.11,48.32,100.00,1.00,0.00,100.00
2026-03-17T18:20:34.4606108,100,2,101.68,89.13,100.00,0.00,0.00,0.00
2026-03-17T18:20:35.4195877,100,3,115.18,97.17,100.00,28.08,9.65,7.69
2026-03-17T18:20:36.3304674,100,4,56.44,64.38,100.00,1.50,0.50,50.00
2026-03-17T18:20:37.2246675,100,5,44.05,27.02,100.00,0.00,0.00,0.00
2026-03-17T18:20:38.1649448,100,6,53.59,39.55,100.00,10.00,2.76,20.00
2026-03-17T18:20:39.0917314,100,7,55.30,33.28,100.00,0.00,0.00,0.00
2026-03-17T18:20:40.1077452,100,8,66.75,51.74,100.00,5.00,0.00,100.00
2026-03-17T18:20:41.2122014,100,9,110.49,83.13,100.00,10.33,3.04,16.67
2026-03-17T18:20:42.2717662,100,10,88.66,92.35,100.00,0.00,0.00,0.00
2026-03-17T18:20:43.7113373,150,1,175.66,112.06,81.33,5.00,1.00,50.00
2026-03-17T18:20:44.9492484,150,2,105.75,75.98,60.67,79.71,7.78,14.29
2026-03-17T18:20:46.3378691,150,3,166.43,116.99,64.67,50.28,24.74,5.56
2026-03-17T18:20:48.3415312,150,4,197.68,126.60,100.00,26.60,20.34,40.00
2026-03-17T18:20:50.5164035,150,5,245.59,153.95,100.00,88.07,61.84,3.57
2026-03-17T18:20:52.9262202,150,6,238.73,144.61,100.00,16.56,7.78,22.22
2026-03-17T18:20:55.3077053,150,7,221.32,141.91,86.67,160.31,121.89,3.85
2026-03-17T18:20:56.95771,150,8,138.35,75.61,60.67,89.92,71.99,3.85
2026-03-17T18:20:59.8990661,150,9,364.87,253.31,99.33,112.17,53.16,6.90
2026-03-17T18:21:02.9044296,150,10,413.37,400.98,100.00,107.97,58.15,6.90
2026-03-17T18:21:05.8656353,200,1,342.76,254.39,74.00,145.59,112.66,4.88
2026-03-17T18:21:07.7635432,200,2,179.95,103.80,43.00,212.25,50.80,25.00
2026-03-17T18:21:12.0465721,200,3,627.42,506.94,100.00,34.64,30.72,27.27
2026-03-17T18:21:16.3781659,200,4,593.73,535.09,94.00,48.42,32.15,15.79
2026-03-17T18:21:21.2014679,200,5,719.86,581.27,100.00,24.00,8.47,20.00
2026-03-17T18:21:24.895307,200,6,432.17,287.78,71.00,178.60,135.79,7.14
2026-03-17T18:21:30.3152451,200,7,818.51,664.69,100.00,190.72,164.27,16.00
2026-03-17T18:21:35.823687,200,8,812.55,699.73,100.00,279.76,152.44,7.14
2026-03-17T18:21:41.4355939,200,9,795.35,653.29,100.00,225.89,134.96,10.53
2026-03-17T18:21:47.2261338,200,10,885.77,707.18,100.00,151.41,170.52,13.79
2026-03-17T18:21:56.4904736,250,1,1036.52,640.18,100.00,413.99,428.10,7.79
2026-03-17T18:22:03.6764907,250,2,1034.42,745.09,91.60,194.08,160.63,10.00
2026-03-17T18:22:09.686914,250,3,862.16,774.38,73.20,225.03,179.18,6.67
2026-03-17T18:22:17.7670205,250,4,1091.16,833.99,92.40,304.16,189.08,5.81
2026-03-17T18:22:20.8663129,250,5,255.11,165.88,32.40,49.63,29.44,25.00
2026-03-17T18:22:27.660026,250,6,1064.92,909.31,71.60,366.01,289.82,7.46
2026-03-17T18:22:37.4364758,250,7,1235.05,930.49,100.00,379.01,290.77,8.45
2026-03-17T18:22:47.4602765,250,8,1219.44,942.78,100.00,276.63,210.05,7.69
2026-03-17T18:22:57.9680099,250,9,1305.30,901.92,100.00,221.35,211.72,11.11
2026-03-17T18:23:08.6112667,250,10,1333.58,1005.60,100.00,377.17,249.98,6.31
2026-03-17T18:23:18.5633252,300,1,1318.79,1071.27,77.67,374.91,258.77,9.33
2026-03-17T18:23:30.6732434,300,2,1481.15,1061.24,89.33,468.01,321.71,8.16
2026-03-17T18:23:41.9314402,300,3,374.71,231.80,31.67,652.14,394.71,6.93
2026-03-17T18:24:12.0410609,300,4,3623.49,2565.55,100.00,614.48,416.98,6.76
2026-03-17T18:24:38.4347328,300,5,3060.19,2488.28,100.00,507.81,363.14,8.18
2026-03-17T18:25:09.9722361,300,6,3790.93,2926.74,100.00,632.74,438.67,6.75
2026-03-17T18:25:42.1606916,300,7,3649.43,2612.06,100.00,644.81,441.42,6.31
2026-03-17T18:26:16.3282819,300,8,4390.14,3384.91,100.00,768.43,510.19,6.45
2026-03-17T18:26:42.0157986,300,9,3300.07,2381.53,100.00,793.61,615.67,6.81
2026-03-17T18:27:02.6664245,300,10,2159.50,1985.15,100.00,451.00,322.72,6.45
2026-03-17T18:27:29.1581883,350,1,2700.03,1860.81,100.00,416.17,291.36,7.35
2026-03-17T18:28:12.2650016,350,2,4993.61,3571.00,100.00,820.69,721.25,5.37
2026-03-17T18:28:39.1540484,350,3,2778.07,1836.74,100.00,422.20,292.52,6.80
2026-03-17T18:29:06.3140897,350,4,3025.37,3410.71,51.43,901.22,777.66,4.75
2026-03-17T18:29:31.7833409,350,5,3065.79,2033.25,86.29,483.72,306.59,6.02
2026-03-17T18:30:03.9486528,350,6,3123.47,2196.03,100.00,508.52,347.15,6.21
2026-03-17T18:30:34.7359022,350,7,3148.95,2125.13,100.00,460.14,307.20,6.12
2026-03-17T18:31:14.7949392,350,8,3782.33,2727.13,100.00,535.24,323.99,6.21
2026-03-17T18:32:01.9821143,350,9,4507.65,3399.39,100.00,447.82,351.27,9.81
2026-03-17T18:33:11.0846397,350,10,6735.51,5429.71,100.00,855.21,583.32,5.90
2026-03-17T18:34:34.2827164,400,1,7950.97,5575.35,100.00,805.87,531.33,4.99
2026-03-17T18:35:27.8568995,400,2,5212.77,3245.15,100.00,289.33,239.80,12.11
2026-03-17T18:36:39.9866228,400,3,7204.03,5084.51,100.00,596.46,387.93,5.73
2026-03-17T18:37:59.8112421,400,4,7276.83,5315.07,99.00,736.76,470.20,4.84
2026-03-17T18:39:14.9190743,400,5,7429.87,4847.54,100.00,661.60,519.68,6.64
2026-03-17T18:40:23.0289048,400,6,6354.16,4423.73,100.00,423.53,342.48,10.95
2026-03-17T18:41:55.1054686,400,7,9057.36,6166.19,100.00,783.96,547.98,6.04
2026-03-17T18:43:23.1941037,400,8,8482.54,5899.50,100.00,800.86,504.46,4.77
2026-03-17T18:44:59.1354909,400,9,8935.61,6723.96,100.00,964.72,679.76,5.89
2026-03-17T18:46:21.3738586,400,10,8115.07,4725.26,100.00,737.90,431.90,4.58
2026-03-17T18:47:56.3012296,450,1,8071.25,5485.58,100.00,784.54,496.81,4.87
2026-03-17T18:49:24.6286205,450,2,7766.13,5270.65,100.00,695.61,473.68,5.95
2026-03-17T18:53:01.7039723,450,3,18099.23,16599.30,100.00,1882.87,1574.94,4.58
2026-03-17T18:55:08.98548,450,4,14911.19,12101.67,62.00,1599.04,1054.01,3.70
2026-03-17T18:56:52.7693699,450,5,8613.11,5170.70,100.00,865.71,557.84,4.67
2026-03-17T18:58:38.2408697,450,6,8831.66,5941.80,100.00,889.74,553.83,4.53
2026-03-17T19:01:40.9440043,450,7,15240.04,11963.62,100.00,1611.46,1205.47,4.14
2026-03-17T19:03:56.5552521,450,8,9723.05,6920.64,100.00,1232.35,1068.74,6.31
2026-03-17T19:06:08.4360617,450,9,10811.84,6825.85,100.00,1070.06,714.05,4.15
2026-03-17T19:09:08.1083562,450,10,15641.07,14109.99,88.44,1771.22,1502.07,3.64
2026-03-17T19:11:06.0782792,500,1,9664.46,4789.09,100.00,763.26,618.41,8.53
2026-03-17T19:12:56.4490755,500,2,8949.42,5440.38,100.00,610.21,422.06,9.59
2026-03-17T19:14:51.5532164,500,3,9581.47,5459.23,100.00,668.73,445.50,9.41
2026-03-17T19:16:53.940309,500,4,9702.91,6440.58,100.00,1033.97,794.14,7.59
2026-03-17T19:18:54.3672414,500,5,9607.81,5878.85,100.00,856.30,629.27,8.50
2026-03-17T19:20:57.6584459,500,6,9939.84,6076.97,100.00,792.07,521.09,8.08
2026-03-17T19:23:05.6056386,500,7,10338.62,6195.80,100.00,981.93,688.28,7.51
2026-03-17T19:25:24.2367257,500,8,11232.06,7387.18,100.00,1056.90,739.58,7.74
2026-03-17T19:28:31.689044,500,9,12898.50,9644.47,100.00,1533.62,1334.90,6.03
2026-03-17T19:30:57.7543268,500,10,11493.78,7122.98,100.00,1200.56,949.67,6.88
